,ilkid,first_name,last_name,position_x,firstseason,lastseason,h_feet,h_inches,weight_x,college,birthdate_x,birth_year,person_id,display_first_last,display_last_comma_first,display_fi_last,player_slug,birthdate_y,school,country,last_affiliation,height,weight_y,season_exp,jersey,position_y,rosterstatus,games_played_current_season_flag,team_id,team_name,team_abbreviation,team_code,team_city,playercode,from_year,to_year,dleague_flag,nba_flag,games_played_flag,draft_year,draft_round,draft_number,greatest_75_flag
630,DROLLRA01,ralph,drollinger,C,1980,1980,7.0,2.0,250.0,UCLA,1954-04-20 00:00:00,1954,76604,Ralph Drollinger,"Drollinger, Ralph",R. Drollinger,ralph-drollinger,1954-04-20 00:00:00,UCLA,USA,UCLA/USA,7-2,250.0,1.0,52,Center,Inactive,N,1610612742,Mavericks,DAL,mavericks,Dallas,HISTADD_ralph_drollinger,1980.0,1980.0,N,Y,Y,1978,5,105,N
631,DUCKEDI01,dick,duckett,G,1957,1957,6.0,1.0,185.0,St. John's,1933-03-25 00:00:00,1933,76605,Dick Duckett,"Duckett, Dick",D. Duckett,dick-duckett,1933-03-25 00:00:00,St. John's (NY),USA,St. John's (NY)/USA,6-1,185.0,1.0,10,Guard,Inactive,N,1610612758,Royals,CIN,kings,Cincinnati,HISTADD_dick_duckett,1957.0,1957.0,N,Y,Y,1957,2,9,N
632,DUCKWKE01,kevin,duckworth,C,1986,1996,7.0,0.0,275.0,Eastern Illinois,1964-04-01 00:00:00,1964,404,Kevin Duckworth,"Duckworth, Kevin",K. Duckworth,kevin-duckworth,1964-04-01 00:00:00,Eastern Illinois,USA,Eastern Illinois/USA,7-0,300.0,12.0,00,Center,Inactive,N,1610612757,Trail Blazers,POR,blazers,Portland,kevin_duckworth,1986.0,1996.0,N,Y,Y,1986,2,33,N
633,DUDLECH01,charles,dudley,G,1972,1978,6.0,2.0,180.0,Washington,1950-03-05 00:00:00,1950,76607,Charles Dudley,"Dudley, Charles",C. Dudley,charles-dudley,1950-03-05 00:00:00,Washington,USA,Washington/USA,6-2,180.0,6.0,5,Guard,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_grasshopper_dudley,1972.0,1978.0,N,Y,Y,1972,5,76,N
634,DUEROTE01,terry,duerod,G,1979,1982,6.0,2.0,180.0,Detroit,1956-07-29 00:00:00,1956,76608,Terry Duerod,"Duerod, Terry",T. Duerod,terry-duerod,1956-07-29 00:00:00,Detroit,USA,Detroit/USA,6-2,180.0,4.0,40,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_terry_duerod,1979.0,1982.0,N,Y,Y,1979,3,48,N
635,DUFFYBO01,bob,duffy,F,1946,1946,6.0,4.0,175.0,Tulane,1922-07-05 00:00:00,1922,76609,Bob Duffy,"Duffy, Bob",B. Duffy,bob-duffy,1922-07-05 00:00:00,Tulane,USA,Tulane/USA,6-4,175.0,1.0,17,Forward,Inactive,N,1610610025,Stags,CHS,stags,Chicago,HISTADD_bobjohn_duffy,1946.0,1946.0,N,Y,Y,1962,2,10,N
636,DUFFYBO02,bob,duffy,G,1962,1964,6.0,3.0,185.0,Colgate,1940-09-26 00:00:00,1940,76610,Bob Duffy,"Duffy, Bob",B. Duffy,bob-duffy,1940-09-26 00:00:00,Colgate,USA,Colgate/USA,6-3,185.0,3.0,,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_bob_duffy,1962.0,1964.0,N,Y,Y,1962,2,10,N
637,DUHONCH01,chris,duhon,G,2004,2004,6.0,1.0,193.0,Duke,1982-08-31 00:00:00,1982,2768,Chris Duhon,"Duhon, Chris",C. Duhon,chris-duhon,1982-08-31 00:00:00,Duke,USA,Duke/USA,6-1,190.0,10.0,21,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,chris_duhon,2004.0,2012.0,N,Y,Y,2004,2,38,N
638,DUKESWA01,walter,dukes,C,1955,1962,7.0,0.0,220.0,Seton Hall,1930-06-23 00:00:00,1930,76611,Walter Dukes,"Dukes, Walter",W. Dukes,walter-dukes,1930-06-23 00:00:00,Seton Hall,USA,Seton Hall/USA,7-0,220.0,8.0,23,Center,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_walter_dukes,1955.0,1962.0,N,Y,Y,1953,,,N
639,DUMASTO01,tony,dumas,G,1994,1997,6.0,6.0,190.0,Missouri-K.C.,1972-08-25 00:00:00,1972,434,Tony Dumas,"Dumas, Tony",T. Dumas,tony-dumas,1972-08-25 00:00:00,Missouri-Kansas City,USA,Missouri-Kansas City/USA,6-6,190.0,4.0,,Guard,Inactive,N,0,,,,,tony_dumas,1994.0,1997.0,N,Y,Y,1994,1,19,N
640,DUNCAAN01,andy,duncan,F,1948,1950,6.0,6.0,195.0,William & Mary,1922-04-17 00:00:00,1922,76615,Andy Duncan,"Duncan, Andy",A. Duncan,andy-duncan,1922-04-17 00:00:00,William & Mary,USA,William & Mary/USA,6-6,195.0,3.0,21,Forward,Inactive,N,1610612758,Royals,ROC,kings,Rochester,HISTADD_andy_duncan,1948.0,1950.0,N,Y,Y,1947,,,N
641,DUNCATI01,tim,duncan,F,1997,2004,7.0,0.0,248.0,Wake Forest,1976-04-25 00:00:00,1976,1495,Tim Duncan,"Duncan, Tim",T. Duncan,tim-duncan,1976-04-25 00:00:00,Wake Forest,US Virgin Islands,Wake Forest/US Virgin Islands,6-11,250.0,20.0,21,Center-Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,tim_duncan,1997.0,2015.0,N,Y,Y,1997,1,1,Y
642,DUNLEMI01,mike,dunleavy,G,1976,1989,6.0,2.5,180.0,South Carolina,1954-03-21 00:00:00,1954,76616,Mike Dunleavy,"Dunleavy, Mike",M. Dunleavy,mike-dunleavy,1954-03-21 00:00:00,South Carolina,USA,South Carolina/USA,6-3,180.0,11.0,,Guard,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,HISTADD_mike_dunleavy_sr,1976.0,1989.0,N,Y,Y,1976,6,99,N
643,DUNLEMI02,mike,dunleavy,F,2002,2004,6.0,9.0,221.0,Duke,1980-09-15 00:00:00,1980,2399,Mike Dunleavy,"Dunleavy, Mike",M. Dunleavy,mike-dunleavy,1980-09-15 00:00:00,Duke,USA,Duke/USA,6-9,230.0,16.0,34,Guard-Forward,Inactive,N,1610612744,Warriors,GSW,warriors,Golden State,mike_dunleavy,2002.0,2016.0,N,Y,Y,2002,1,3,N
644,DURENJO01,john,duren,G,1980,1982,6.0,3.0,195.0,Georgetown,1958-10-30 00:00:00,1958,76619,John Duren,"Duren, John",J. Duren,john-duren,1958-10-30 00:00:00,Georgetown,USA,Georgetown/USA,6-3,195.0,3.0,44,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_john_duren,1980.0,1982.0,N,Y,Y,1980,1,19,N
645,DURHAPA01,pat,durham,F,1992,1994,6.0,7.0,210.0,Colorado State,1967-03-10 00:00:00,1967,1090,Pat Durham,"Durham, Pat",P. Durham,pat-durham,1967-03-10 00:00:00,Colorado State,USA,Colorado State/USA,6-7,210.0,2.0,30,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,pat_durham,1992.0,1994.0,N,Y,Y,1989,2,35,N
646,DURRADE01,devin,durrant,F,1984,1985,6.0,7.0,200.0,Brigham Young,1960-10-20 00:00:00,1960,76621,Devin Durrant,"Durrant, Devin",D. Durrant,devin-durrant,1960-10-20 00:00:00,Brigham Young,USA,Brigham Young/USA,6-7,200.0,2.0,17,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_devin_durrant,1984.0,1985.0,N,Y,Y,1984,2,25,N
647,DURREKE01,ken,durrett,F,1971,1974,6.0,7.0,190.0,LaSalle,1948-12-08 00:00:00,1948,76622,Ken Durrett,"Durrett, Ken",K. Durrett,ken-durrett,1948-12-08 00:00:00,La Salle,USA,La Salle/USA,6-7,190.0,4.0,33,Forward,Inactive,N,1610612758,Kings,KCK,kings,Kansas City-Omaha,HISTADD_ken_durrett,1971.0,1974.0,N,Y,Y,1971,1,4,N
648,DUVALDE01,dennis,duval,G,1974,1975,6.0,3.0,175.0,Syracuse,1952-03-31 00:00:00,1952,76623,Dennis DuVal,"DuVal, Dennis",D. DuVal,dennis-duval,1952-03-31 00:00:00,Syracuse,USA,Syracuse/USA,6-3,175.0,2.0,21,Guard,Inactive,N,1610612764,Bullets,WAS,wizards,Washington,HISTADD_dennis_duval,1974.0,1975.0,N,Y,Y,1974,2,30,N
649,DYKEMCR01,craig,dykema,F,1981,1981,6.0,8.0,190.0,Long Beach State,1959-06-11 00:00:00,1959,76625,Craig Dykema,"Dykema, Craig",C. Dykema,craig-dykema,1959-06-11 00:00:00,Long Beach State,USA,Long Beach State/USA,6-8,190.0,1.0,35,Forward,Inactive,N,1610612756,Suns,PHX,suns,Phoenix,HISTADD_craig_dykema,1981.0,1981.0,N,Y,Y,1981,3,66,N
650,DYKERGE01,gene,dyker,F,1953,1953,6.0,6.0,225.0,DePaul,1930-02-17 00:00:00,1930,76626,Gene Dyker,"Dyker, Gene",G. Dyker,gene-dyker,1930-02-17 00:00:00,DePaul,USA,DePaul/USA,6-6,225.0,1.0,5,Forward,Inactive,N,1610612737,Hawks,MIH,hawks,Milwaukee,HISTADD_gene_dyker,1953.0,1953.0,N,Y,Y,1953,,,N
651,EACKLLE01,ledell,eackles,G,1988,1997,6.0,5.0,220.0,New Orleans,1966-11-24 00:00:00,1966,289,Ledell Eackles,"Eackles, Ledell",L. Eackles,ledell-eackles,1966-11-24 00:00:00,New Orleans,USA,New Orleans/USA,6-5,231.0,7.0,21,Guard,Inactive,N,1610612764,Wizards,WAS,wizards,Washington,ledell_eackles,1988.0,1997.0,N,Y,Y,1988,2,36,N
652,EAKINJI01,jim,eakins,C,1968,1977,6.0,11.0,215.0,Brigham Young,1946-05-24 00:00:00,1946,76628,Jim Eakins,"Eakins, Jim",J. Eakins,jim-eakins,1946-05-24 00:00:00,Brigham Young,USA,Brigham Young/USA,6-11,215.0,2.0,24,Center,Inactive,N,1610612758,Kings,KCK,kings,Kansas City,HISTADD_jimbo_eakins,1976.0,1977.0,N,Y,Y,1968,5,57,N
653,EARLAC01,acie,earl,C,1993,1996,6.0,10.0,240.0,Iowa,1970-06-23 00:00:00,1970,768,Acie Earl,"Earl, Acie",A. Earl,acie-earl,1970-06-23 00:00:00,Iowa,USA,Iowa/USA,6-11,240.0,4.0,55,Forward-Center,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,acie_earl,1993.0,1996.0,N,Y,Y,1993,1,19,N
654,EARLEED01,ed,earle,F,1953,1953,6.0,3.0,190.0,Loyola (IL),1927-04-28 00:00:00,1927,76630,Ed Earle,"Earle, Ed",E. Earle,ed-earle,1927-04-28 00:00:00,Loyola-Chicago,USA,Loyola-Chicago/USA,6-3,190.0,1.0,6,Forward,Inactive,N,1610612755,Nationals,PHI,sixers,Syracuse,HISTADD_ed_earle,1953.0,1953.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
655,EAVESJE01,jerry,eaves,G,1982,1986,6.0,4.0,180.0,Louisville,1959-02-08 00:00:00,1959,76632,Jerry Eaves,"Eaves, Jerry",J. Eaves,jerry-eaves,1959-02-08 00:00:00,Louisville,USA,Louisville/USA,6-4,180.0,4.0,22,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,HISTADD_jerry_eaves,1982.0,1986.0,N,Y,Y,1982,3,55,N
656,EBBENBI01,bill,ebben,G,1957,1957,6.0,4.0,190.0,Detroit,1935-10-07 00:00:00,1935,76633,Bill Ebben,"Ebben, Bill",B. Ebben,bill-ebben,1935-10-07 00:00:00,Detroit,USA,Detroit/USA,6-4,190.0,1.0,6,Guard,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_bill_ebben,1957.0,1957.0,N,Y,Y,1957,3,18,N
657,EBERHAL01,al,eberhard,F,1974,1977,6.0,6.0,225.0,Missouri,1952-05-10 00:00:00,1952,76634,Al Eberhard,"Eberhard, Al",A. Eberhard,al-eberhard,1952-05-10 00:00:00,Missouri,USA,Missouri/USA,6-6,225.0,4.0,44,Forward,Inactive,N,1610612765,Pistons,DET,pistons,Detroit,HISTADD_al_eberhard,1974.0,1977.0,N,Y,Y,1974,1,15,N
658,EBIND01,ndudi,ebi,F,2003,2004,6.0,9.0,195.0,,1984-06-18 00:00:00,1984,2569,Ndudi Ebi,"Ebi, Ndudi",N. Ebi,ndudi-ebi,1984-06-18 00:00:00,Westbury Christian HS (TX),USA,Westbury Christian HS (TX)/USA,6-9,195.0,3.0,44,Forward,Inactive,N,1610612750,Timberwolves,MIN,timberwolves,Minnesota,ndudi_ebi,2003.0,2004.0,Y,Y,Y,2003,1,26,N
659,EDDIEPA01,patrick,eddie,C,1991,1991,6.0,11.0,240.0,Mississippi,1967-12-27 00:00:00,1967,76635,Patrick Eddie,"Eddie, Patrick",P. Eddie,patrick-eddie,1967-12-27 00:00:00,Mississippi,USA,Mississippi/USA,6-11,240.0,1.0,41,Center,Inactive,N,1610612752,Knicks,NYK,knicks,New York,HISTADD_patrick_eddie,1991.0,1991.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
660,EDDLETH01,thomas,eddleman,F,1949,1952,6.0,2.5,189.0,Illinois,1922-12-27 00:00:00,1922,76636,Thomas Eddleman,"Eddleman, Thomas",T. Eddleman,thomas-eddleman,1922-12-27 00:00:00,Illinois,USA,Illinois/USA,6-2,189.0,4.0,12,Forward,Inactive,N,1610612765,Pistons,FTW,pistons,Ft. Wayne Zollner,HISTADD_dike_eddleman,1949.0,1952.0,N,Y,Y,1949,3,,N
661,EDELIKE01,kent,edelin,F,1984,1984,6.0,8.0,205.0,Virginia,1962-05-24 00:00:00,1962,76637,Kent Edelin,"Edelin, Kent",K. Edelin,kent-edelin,1962-05-24 00:00:00,Virginia,USA,Virginia/USA,6-8,205.0,1.0,,Forward,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_kent_edelin,1984.0,1984.0,N,Y,Y,1984,7,140,N
662,EDNEYTY01,tyus,edney,G,1995,2000,5.0,10.0,152.0,UCLA,1973-02-14 00:00:00,1973,721,Tyus Edney,"Edney, Tyus",T. Edney,tyus-edney,1973-02-14 00:00:00,UCLA,USA,UCLA/USA,5-10,166.0,4.0,2,Guard,Inactive,N,1610612758,Kings,SAC,kings,Sacramento,tyus_edney,1995.0,2000.0,N,Y,Y,1995,2,47,N
663,EDWARBI01,bill,edwards,F,1993,1993,6.0,8.0,215.0,Wright State,1971-09-22 00:00:00,1971,76646,Bill Edwards,"Edwards, Bill",B. Edwards,bill-edwards,1971-09-22 00:00:00,Wright State,USA,Wright State/USA,6-8,215.0,1.0,40,Forward,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_bill_edwards,1993.0,1993.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
664,EDWARBL01,blue,edwards,F,1989,1998,6.0,4.0,200.0,East Carolina,1965-10-31 00:00:00,1965,898,Blue Edwards,"Edwards, Blue",B. Edwards,blue-edwards,1965-10-31 00:00:00,East Carolina,USA,East Carolina/USA,6-4,200.0,10.0,,Forward,Inactive,N,0,,,,,blue_edwards,1989.0,1998.0,N,Y,Y,1989,1,21,N
665,EDWARDO01,doug,edwards,F,1993,1995,6.0,7.0,220.0,Florida State,1971-01-21 00:00:00,1971,346,Doug Edwards,"Edwards, Doug",D. Edwards,doug-edwards,1971-01-21 00:00:00,Florida State,USA,Florida State/USA,6-7,235.0,3.0,32,Forward,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,doug_edwards,1993.0,1995.0,N,Y,Y,1993,1,15,N
666,EDWARFR01,franklin,edwards,G,1981,1987,6.0,1.0,170.0,Cleveland State,1959-02-02 00:00:00,1959,76641,Franklin Edwards,"Edwards, Franklin",F. Edwards,franklin-edwards,1959-02-02 00:00:00,Cleveland State,USA,Cleveland State/USA,6-1,170.0,7.0,10,Guard,Inactive,N,1610612755,76ers,PHI,sixers,Philadelphia,HISTADD_franklin_edwards,1981.0,1987.0,N,Y,Y,1981,1,22,N
667,EDWARJA02,jay,edwards,F,1989,1989,6.0,4.0,185.0,Indiana,1969-01-03 00:00:00,1969,76643,Jay Edwards,"Edwards, Jay",J. Edwards,jay-edwards,1969-01-03 00:00:00,Indiana,USA,Indiana/USA,6-4,185.0,1.0,3,Forward,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,HISTADD_jay_edwards,1989.0,1989.0,N,Y,Y,1989,2,33,N
668,EDWARKE01,kevin,edwards,G,1988,2000,6.0,3.0,190.0,DePaul,1965-10-30 00:00:00,1965,236,Kevin Edwards,"Edwards, Kevin",K. Edwards,kevin-edwards,1965-10-30 00:00:00,DePaul,USA,DePaul/USA,6-3,210.0,11.0,21,Guard,Inactive,N,1610612748,Heat,MIA,heat,Miami,kevin_edwards,1988.0,2000.0,N,Y,Y,1988,1,20,N
669,EDWARJO01,john,edwards,C,2004,2004,7.0,0.0,264.0,Kent St.,1981-07-31 00:00:00,1981,2823,John Edwards,"Edwards, John",J. Edwards,john-edwards,1981-07-31 00:00:00,Kent State,USA,Kent State/USA,7-0,275.0,3.0,54,Center,Inactive,N,1610612737,Hawks,ATL,hawks,Atlanta,john_edwards,2004.0,2005.0,Y,Y,Y,Undrafted,Undrafted,Undrafted,N
670,EDWARCO01,corsley,edwards,F,2004,2004,6.0,9.0,275.0,Central Connecticut State,1979-03-05 00:00:00,1979,2451,Corsley Edwards,"Edwards, Corsley",C. Edwards,corsley-edwards,1979-03-05 00:00:00,Central Connecticut State,USA,Central Connecticut State/USA,6-9,275.0,1.0,,Forward,Inactive,N,0,,,,,corsley_edwards,2002.0,2004.0,Y,Y,Y,2002,2,57,N
671,EGGLELO01,lonnie,eggleston,G,1948,1948,6.0,0.0,170.0,Oklahoma A&M,1918-06-08 00:00:00,1918,76648,Lonnie Eggleston,"Eggleston, Lonnie",L. Eggleston,lonnie-eggleston,1918-06-08 00:00:00,Oklahoma State,USA,Oklahoma State/USA,6-0,170.0,1.0,,Guard,Inactive,N,1610610034,Bombers,BOM,bombers,St. Louis,HISTADD_lonnie_eggleston,1948.0,1948.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
672,EHLERED01,eddie,ehlers,G,1947,1948,6.0,3.0,198.0,Purdue,1923-03-10 00:00:00,1923,76649,Eddie Ehlers,"Ehlers, Eddie",E. Ehlers,eddie-ehlers,1923-03-10 00:00:00,Purdue,USA,Purdue/USA,6-3,198.0,2.0,14,Guard,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_bulbs_ehlers,1947.0,1948.0,N,Y,Y,1947,1,3,N
673,EHLOCR01,craig,ehlo,G,1983,1996,6.0,6.0,180.0,Washington State,1961-08-11 00:00:00,1961,378,Craig Ehlo,"Ehlo, Craig",C. Ehlo,craig-ehlo,1961-08-11 00:00:00,Washington State,USA,Washington State/USA,6-6,180.0,14.0,,Guard,Inactive,N,0,,,,,craig_ehlo,1983.0,1996.0,N,Y,Y,1983,3,48,N
674,EICHHDI01,dick,eichhorst,G,1961,1961,6.0,3.0,200.0,Southeast Missouri,1933-10-21 00:00:00,1933,76651,Dick Eichhorst,"Eichhorst, Dick",D. Eichhorst,dick-eichhorst,1933-10-21 00:00:00,Southeast Missouri,USA,Southeast Missouri/USA,6-3,200.0,1.0,,Guard,Inactive,N,1610612737,Hawks,STL,hawks,St. Louis,HISTADD_dick_eichhorst,1961.0,1961.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
675,EISLEHO01,howard,eisley,G,1994,2004,6.0,2.0,177.0,Boston College,1972-12-04 00:00:00,1972,458,Howard Eisley,"Eisley, Howard",H. Eisley,howard-eisley,1972-12-04 00:00:00,Boston College,USA,Boston College/USA,6-2,185.0,12.0,10,Guard,Inactive,N,1610612762,Jazz,UTA,jazz,Utah,howard_eisley,1994.0,2005.0,N,Y,Y,1994,2,30,N
676,EKEZIOB01,obinna,ekezie,F,1999,2004,6.0,9.0,270.0,Maryland,1975-08-22 00:00:00,1975,1918,Obinna Ekezie,"Ekezie, Obinna",O. Ekezie,obinna-ekezie,1975-08-22 00:00:00,Maryland,Nigeria,Maryland/Nigeria,6-9,270.0,5.0,,Center,Inactive,N,0,,,,,obinna_ekezie,1999.0,2004.0,N,Y,Y,1999,2,37,N
677,EL-AMKH01,khalid,el-amin,G,2000,2000,5.0,9.0,200.0,Connecticut,1979-04-25 00:00:00,1979,2064,Khalid El-Amin,"El-Amin, Khalid",K. El-Amin,khalid-el-amin,1979-04-25 00:00:00,Connecticut,USA,Connecticut/USA,5-10,200.0,2.0,11,Guard,Inactive,N,1610612741,Bulls,CHI,bulls,Chicago,khalid_el-amin,2000.0,2002.0,N,Y,Y,2000,2,34,N
678,ELIASDO01,don,eliason,F,1946,1946,6.0,2.0,210.0,Hamline,1918-07-24 00:00:00,1918,76653,Don Eliason,"Eliason, Don",D. Eliason,don-eliason,1918-07-24 00:00:00,Hamline,USA,Hamline/USA,6-2,210.0,1.0,14,Forward,Inactive,N,1610612738,Celtics,BOS,celtics,Boston,HISTADD_don_eliason,1946.0,1946.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
679,ELIEMA01,mario,elie,F,1990,2000,6.0,5.0,210.0,American International,1963-11-26 00:00:00,1963,53,Mario Elie,"Elie, Mario",M. Elie,mario-elie,1963-11-26 00:00:00,American International,USA,American International/USA,6-5,225.0,11.0,17,Guard-Forward,Inactive,N,1610612745,Rockets,HOU,rockets,Houston,mario_elie,1990.0,2000.0,N,Y,Y,1985,7,160,N
680,ELLIOSE01,sean,elliott,F,1989,2000,6.0,8.0,205.0,Arizona,1968-02-02 00:00:00,1968,251,Sean Elliott,"Elliott, Sean",S. Elliott,sean-elliott,1968-02-02 00:00:00,Arizona,USA,Arizona/USA,6-8,220.0,12.0,32,Forward,Inactive,N,1610612759,Spurs,SAS,spurs,San Antonio,sean_elliott,1989.0,2000.0,N,Y,Y,1989,1,3,N
681,ELLISAL01,alexander,ellis,F,1958,1959,6.0,5.0,185.0,Niagara,1936-02-11 00:00:00,1936,76658,Alexander Ellis,"Ellis, Alexander",A. Ellis,alexander-ellis,1936-02-11 00:00:00,Niagara,USA,Niagara/USA,6-5,185.0,2.0,30,Forward,Inactive,N,1610612747,Lakers,MNL,lakers,Minneapolis,HISTADD_boo_ellis,1958.0,1959.0,N,Y,Y,1958,3,16,N
682,ELLISDA01,dale,ellis,G,1983,1999,6.0,7.0,205.0,Tennessee,1960-08-06 00:00:00,1960,107,Dale Ellis,"Ellis, Dale",D. Ellis,dale-ellis,1960-08-06 00:00:00,Tennessee,USA,Tennessee/USA,6-7,205.0,17.0,,Guard,Inactive,N,0,,,,,dale_ellis,1983.0,1999.0,N,Y,Y,1983,1,9,N
683,ELLISHA01,harold,ellis,F,1993,1997,6.0,5.0,200.0,Morehouse,1970-10-07 00:00:00,1970,1677,Harold Ellis,"Ellis, Harold",H. Ellis,harold-ellis,1970-10-07 00:00:00,Morehouse,USA,Morehouse/USA,6-5,220.0,3.0,3,Forward-Guard,Inactive,N,1610612746,Clippers,LAC,clippers,Los Angeles,harold_ellis,1993.0,1997.0,N,Y,Y,Undrafted,Undrafted,Undrafted,N
684,ELLISJO01,joe,ellis,F,1966,1973,6.0,6.0,175.0,San Francisco,1944-05-03 00:00:00,1944,76661,Joe Ellis,"Ellis, Joe",J. Ellis,joe-ellis,1944-05-03 00:00:00,San Francisco,USA,San Francisco/USA,6-6,175.0,8.0,31,Forward,Inactive,N,1610612744,Warriors,GOS,warriors,Golden State,HISTADD_joe_ellis,1966.0,1973.0,N,Y,Y,1966,2,13,N
685,ELLISLA01,laphonso,ellis,F,1992,2002,6.0,8.0,240.0,Notre Dame,1970-05-05 00:00:00,1970,111,LaPhonso Ellis,"Ellis, LaPhonso",L. Ellis,laphonso-ellis,1970-05-05 00:00:00,Notre Dame,USA,Notre Dame/USA,6-8,240.0,12.0,3,Forward,Inactive,N,1610612743,Nuggets,DEN,nuggets,Denver,laphonso_ellis,1992.0,2002.0,N,Y,Y,1992,1,5,N
686,ELLISLE01,leroy,ellis,F,1962,1975,6.0,10.0,210.0,St. John's,1940-03-10 00:00:00,1940,76663,Leroy Ellis,"Ellis, Leroy",L. Ellis,leroy-ellis,1940-03-10 00:00:00,St. John's (NY),USA,St. John's (NY)/USA,6-11,210.0,14.0,25,Forward,Inactive,N,1610612747,Lakers,LAL,lakers,Los Angeles,HISTADD_leroy_ellis,1962.0,1975.0,N,Y,Y,1962,1,6,N
687,ELLISLE02,leron,ellis,C,1991,1995,6.0,9.0,225.0,Syracuse,1969-04-28 00:00:00,1969,1034,LeRon Ellis,"Ellis, LeRon",L. Ellis,leron-ellis,1969-04-28 00:00:00,Syracuse,USA,Syracuse/USA,6-9,225.0,3.0,28,Center,Inactive,N,1610612766,Hornets,CHH,hornets,Charlotte,leron_ellis,1991.0,1995.0,N,Y,Y,1991,1,22,N
688,ELLISPE01,pervis,ellison,C,1989,2000,6.0,9.0,210.0,Louisville,1967-04-03 00:00:00,1967,442,Pervis Ellison,"Ellison, Pervis",P. Ellison,pervis-ellison,1967-04-03 00:00:00,Louisville,USA,Louisville/USA,,,11.0,,Center,Inactive,N,0,,,,,pervis_ellison,1989.0,2000.0,N,Y,Y,1989,1,1,N
689,ELMORLE01,len,elmore,C,1974,1983,6.0,9.0,220.0,Maryland,1952-03-28 00:00:00,1952,600010,Len Elmore,"Elmore, Len",L. Elmore,len-elmore,1952-03-28 00:00:00,Maryland,USA,Maryland/USA,6-10,220.0,8.0,44,Center,Inactive,N,1610612751,Nets,NJN,nets,New Jersey,HISTADD_len_elmore,1976.0,1983.0,N,Y,Y,1974,1,13,N
690,ELSTODA01,darrell,elston,G,1974,1976,6.0,3.5,190.0,North Carolina,1952-08-15 00:00:00,1952,76667,Darrell Elston,"Elston, Darrell",D. Elston,darrell-elston,1952-08-15 00:00:00,North Carolina,USA,North Carolina/USA,6-3,190.0,1.0,15,Guard,Inactive,N,1610612754,Pacers,IND,pacers,Indiana,HISTADD_darrell_elston,1976.0,1976.0,N,Y,Y,1974,3,43,N
691,ELYME01,melvin,ely,F,2002,2004,6.0,10.0,260.0,Fresno State,1978-05-02 00:00:00,1978,2408,Melvin Ely,"Ely, Melvin",M. Ely,melvin-ely,1978-05-02 00:00:00,Fresno State,USA,Fresno State/USA,6-10,260.0,9.0,4,Center-Forward,Inactive,N,1610612766,Bobcats,CHA,hornets,Charlotte,melvin_ely,2002.0,2013.0,Y,Y,Y,2002,1,12,N
692,EMBRYWA01,wayne,embry,C,1958,1968,6.0,8.0,240.0,Miami (OH),1937-03-26 00:00:00,1937,76668,Wayne Embry,"Embry, Wayne",W. Embry,wayne-embry,1937-03-26 00:00:00,Miami (Ohio),USA,Miami (Ohio)/USA,6-8,240.0,11.0,15,Center,Inactive,N,1610612758,Royals,CIN,kings,Cincinnati,HISTADD_wayne_embry,1958.0,1968.0,N,Y,Y,1958,3,22,N
693,EMMETAN01,andre,emmett,G,2004,2004,6.0,4.0,216.0,Texas Tech,1982-08-27 00:00:00,1982,2765,Andre Emmett,"Emmett, Andre",A. Emmett,andre-emmett,1982-08-27 00:00:00,Texas Tech,USA,Texas Tech/USA,6-5,230.0,3.0,,Guard,Inactive,N,0,,,,,andre_emmett,2004.0,2011.0,Y,Y,Y,2004,2,35,N
